iter	Passed	Remaining
0	173	173589
1	210	105137
2	242	80595
3	290	72292
4	302	60235
5	339	56321
6	377	53576
7	413	51240
8	446	49109
9	468	46421
10	503	45256
11	557	45925
12	592	44986
13	629	44323
14	662	43516
15	702	43173
16	756	43722
17	791	43199
18	841	43429
19	884	43357
20	920	42919
21	955	42482
22	988	42003
23	1021	41561
24	1050	40957
25	1081	40496
26	1125	40559
27	1162	40341
28	1212	40600
29	1246	40299
30	1277	39944
31	1321	39977
32	1370	40162
33	1422	40403
34	1466	40434
35	1470	39389
36	1508	39254
37	1538	38952
38	1575	38821
39	1608	38593
40	1647	38526
41	1710	39018
42	1763	39250
43	1810	39336
44	1868	39653
45	1908	39577
46	1950	39546
47	1999	39655
48	2033	39472
49	2054	39026
50	2080	38708
51	2118	38620
52	2159	38584
53	2198	38513
54	2233	38383
55	2271	38290
56	2312	38252
57	2336	37949
58	2375	37885
59	2421	37931
60	2467	37989
61	2524	38189
62	2573	38271
63	2616	38259
64	2656	38210
65	2707	38310
66	2755	38374
67	2798	38356
68	2837	38283
69	2881	38284
70	2905	38013
71	2965	38228
72	3007	38193
73	3063	38338
74	3134	38656
75	3195	38849
76	3229	38717
77	3265	38596
78	3300	38480
79	3331	38307
80	3369	38228
81	3412	38206
82	3465	38290
83	3557	38795
84	3576	38495
85	3626	38538
86	3694	38769
87	3760	38977
88	3830	39210
89	3879	39224
90	3933	39289
91	3983	39311
92	4035	39353
93	4086	39385
94	4153	39571
95	4207	39620
96	4275	39798
97	4317	39741
98	4367	39746
99	4411	39702
100	4456	39665
101	4508	39691
102	4575	39846
103	4626	39860
104	4678	39877
105	4727	39873
106	4777	39874
107	4836	39946
108	4914	40176
109	4958	40116
110	5028	40269
111	5084	40316
112	5134	40307
113	5184	40293
114	5231	40263
115	5286	40287
116	5338	40289
117	5390	40292
118	5452	40363
119	5514	40438
120	5569	40460
121	5618	40431
122	5671	40436
123	5716	40384
124	5760	40320
125	5850	40582
126	5936	40809
127	6000	40876
128	6076	41028
129	6133	41044
130	6193	41083
131	6251	41105
132	6310	41136
133	6369	41163
134	6426	41174
135	6484	41196
136	6532	41152
137	6587	41148
138	6649	41187
139	6701	41165
140	6786	41343
141	6835	41302
142	6900	41352
